ufn,vfid,semsp_id,fish_species,sample_site,sample_date,year,date_processed.x,microscope_hours,analysis,stomach_weight_full,stomach_weight_empty,calculated_stomach_weight,bolus_weight,visual_gfi,summed_content_weight,taxa_group,phylum,subphylum,class,subclass,order,suborder,infraorder,family,genus,species.x,life_stage,taxa_detail_calc,taxa_detail_manual,sex,prey_abund,max_length,min_length,digestion_state,prey_weight,relative_biomass,size_class,overnight,subsample,comments.x,project,action,seine_id,date,work_area,survey,site_id,jsp_survey_id,species.y,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,date_processed.y,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,analysis_planned,dissection_status,lice_collection_protocol,lice_id_protocol,analyzing_lab,quality_level,comments.y,quality_log,sampling_week,gather_long,gather_lat,set_time,pk,set_number,set_type,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_notes
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Larvaceans,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,oikopleura,NA,19,4.3,2.5,1,1.2,0.478659753,2 to 5,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Cyclopoids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,Ergasilida,NA,Corycaeidae,Ditrichocorycaeus,anglicus,NA,Ditrichocorycaeus_anglicus,corycaeus anglicus,NA,1,0.7,0.7,1,0.1,0.039888313,<1,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Algae,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,NA,NA,NA,NA,NA,NA,NA,Coscinodiscophycidae,diatoms,NA,3,0.4,0.4,1,0.1,0.039888313,<1,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Barnacle_Nauplii,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,NA,NA,NA,NA,Nauplii,Balanomorpha_Nauplii,barnacle nauplii,NA,6,0.7,0.4,1,0.1,0.039888313,<1,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Cladocerans,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,NA,NA,Podonidae,Evadne,tergestina,NA,Evadne_tergestina,evadne tergestina,NA,10,0.6,0.5,1,0.3,0.119664938,<1,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Fish,Chordata,Vertebrata,Actinopterygii,NA,Perciformes,Trachinoidei,NA,Ammodytidae,Ammodytes,hexapterus,Juvenile,Ammodytes_hexapterus_Juvenile,sand lance,NA,1,28,28,1,149.2,59.51336258,>10,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Fish,Chordata,Vertebrata,Actinopterygii,NA,Perciformes,Trachinoidei,NA,Ammodytidae,Ammodytes,hexapterus,Juvenile,Ammodytes_hexapterus_Juvenile,sand lance,NA,1,32.5,32.5,2,85.4,34.06461907,>10,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Larvaceans,Chordata,Tunicata,Appendicularia,NA,Copelata,NA,NA,Oikopleuridae,Oikopleura,NA,NA,Oikopleura,oikopleura,NA,74,3.8,2.4,2,14,5.584363781,2 to 5,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Parasites,Platyhelminthes,Rhabditophora,Trematoda,NA,NA,NA,NA,NA,NA,NA,Parasite,Trematoda_Parasite,trematode,NA,1,1.1,1.1,0,0.1,0.039888313,1 to 2,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
U2626,24,2015-05-21-D07-CU-1,Chum,D07,2015-05-21,2015,2018-08-16,4,Temporal,491.1,160.9,330.2,274.6,75-100%,250.7,Cyclopoids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,cyclopoid,NA,1,0.9,0.9,2,0.1,0.039888313,<1,N,N,NA,JSP,NA,DE115N2,2015-05-21,QUADRA,DI_C,D07,DE115,CU,NA,NA,NA,NA,NA,NA,2016-11-28,NONE,PRESENT,9.6,91,96,NA,NA,NA,MF,FULL WORK-UP 1,SEMSP,DISSECTED,NA,LAB_MOTILES,HAKAI,Technician,NA,NA,19-May,-125.1493,50.18217,13:00:00,18,2,TARGETED,17,NA,NA,NA,TRUE,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,1: First set (40 fish) released due to net collapse. Second set targeted different school.
